id,region,sexo,tramo_etario,informalidad,ganancia_final,tramos_ganancias,nivel_educativo,lugar_trabajo,financiamiento_inicial,motivacion
73335675,Arica y Parinacota,Mujer,55 a 64 años,Informal,280000.0,$0 a $300.000,Media completa,Predio agrícola,Solo ahorros/recursos propios,Oportunidad (Aumentar ingresos/Independencia)
29899077,Atacama,Hombre,55 a 64 años,Formal,900000.0,$300.001 a $600.000,Media completa,En la vía pública / Kiosco,Subsidios públicos / Fondos del Estado,Necesidad (Desempleo/Falta de oportunidades)
40168292,Arica y Parinacota,Mujer,25 a 34 años,Informal,150000.0,$0 a $300.000,Superior incompleta (IP/CFT/Univ),En la vía pública / Kiosco,Solo ahorros/recursos propios,Oportunidad (Aumentar ingresos/Independencia)
77761561,Arica y Parinacota,Mujer,65 años o más,Informal,200000.0,$0 a $300.000,Básica completa / Media incompleta,Predio agrícola,Solo ahorros/recursos propios,Oportunidad (Aumentar ingresos/Independencia)
18634185,Atacama,Mujer,35 a 44 años,Informal,500000.0,$0 a $300.000,Media completa,Vehículo,Solo ahorros/recursos propios,Oportunidad (Aumentar ingresos/Independencia)
34008572,Tarapacá,Hombre,55 a 64 años,Informal,1000000.0,$300.001 a $600.000,Básica completa / Media incompleta,En la vía pública / Kiosco,Financiamiento formal (Bancos/Instituciones),Necesidad (Desempleo/Falta de oportunidades)
74405886,Tarapacá,Hombre,35 a 44 años,Informal,100000.0,$0 a $300.000,Media completa,Predio agrícola,Financiamiento formal (Bancos/Instituciones),Oportunidad (Aumentar ingresos/Independencia)
25870489,Atacama,Hombre,55 a 64 años,Informal,400000.0,$0 a $300.000,Básica completa / Media incompleta,Obra en construcción,Solo ahorros/recursos propios,Oportunidad (Aumentar ingresos/Independencia)
76539242,Atacama,Mujer,35 a 44 años,Formal,330000.0,$0 a $300.000,Media completa,En su propio hogar,Préstamos de familiares/amigos,Oportunidad (Aumentar ingresos/Independencia)
61281866,Tarapacá,Mujer,35 a 44 años,Informal,300000.0,$0 a $300.000,Media completa,No tiene un lugar fijo,Solo ahorros/recursos propios,Oportunidad (Aumentar ingresos/Independencia)
77625071,Tarapacá,Hombre,35 a 44 años,Formal,18000000.0,Más de $2.500.000,Básica completa / Media incompleta,En la vía pública / Kiosco,Solo ahorros/recursos propios,Tradición familiar
64900774,Tarapacá,Mujer,35 a 44 años,Informal,190000.0,$0 a $300.000,Media completa,Predio agrícola,Solo ahorros/recursos propios,Oportunidad (Aumentar ingresos/Independencia)
46649646,Tarapacá,Hombre,35 a 44 años,Formal,1500000.0,$600.001 a $1.000.000,Superior incompleta (IP/CFT/Univ),Vehículo,Solo ahorros/recursos propios,Oportunidad (Aumentar ingresos/Independencia)
63338823,Atacama,Hombre,35 a 44 años,Formal,1000000.0,$300.001 a $600.000,Media completa,En su propio hogar,Solo ahorros/recursos propios,Oportunidad (Aumentar ingresos/Independencia)
70223009,Atacama,Mujer,35 a 44 años,Informal,300000.0,$0 a $300.000,Básica completa / Media incompleta,No tiene un lugar fijo,Solo ahorros/recursos propios,Necesidad (Desempleo/Falta de oportunidades)
12617266,Atacama,Hombre,65 años o más,Formal,583333.333333333,$300.001 a $600.000,Sin instrucción / Básica incompleta,Local/Oficina/Taller establecido,Solo ahorros/recursos propios,Tradición familiar
53748326,Atacama,Hombre,45 a 54 años,Informal,1000000.0,$300.001 a $600.000,Básica completa / Media incompleta,Local/Oficina/Taller establecido,Financiamiento formal (Bancos/Instituciones),Tradición familiar
14928804,Atacama,Hombre,65 años o más,Formal,-5280000.0,$0 a $300.000,Superior completa (IP/CFT),En la vía pública / Kiosco,Solo ahorros/recursos propios,Complementar ingresos
69492468,Atacama,Mujer,45 a 54 años,Informal,1000000.0,$300.001 a $600.000,Media completa,Vehículo,Solo ahorros/recursos propios,Necesidad (Desempleo/Falta de oportunidades)
41037966,Atacama,Mujer,55 a 64 años,Formal,500000.0,$0 a $300.000,Media completa,Predio agrícola,Solo ahorros/recursos propios,Necesidad (Desempleo/Falta de oportunidades)
62042808,Atacama,Mujer,65 años o más,Formal,500000.0,$0 a $300.000,Básica completa / Media incompleta,En la vía pública / Kiosco,Solo ahorros/recursos propios,Necesidad (Desempleo/Falta de oportunidades)
78882643,Arica y Parinacota,Mujer,45 a 54 años,Formal,400000.0,$0 a $300.000,Media completa,En la vía pública / Kiosco,Solo ahorros/recursos propios,Necesidad (Desempleo/Falta de oportunidades)
29676053,Arica y Parinacota,Hombre,65 años o más,Formal,200000.0,$0 a $300.000,Superior completa (IP/CFT),En la vía pública / Kiosco,Solo ahorros/recursos propios,Necesidad (Desempleo/Falta de oportunidades)
21588258,Tarapacá,Mujer,55 a 64 años,Informal,40000.0,$0 a $300.000,Básica completa / Media incompleta,Predio agrícola,Solo ahorros/recursos propios,Oportunidad (Aumentar ingresos/Independencia)
20843911,Tarapacá,Mujer,35 a 44 años,Formal,1300000.0,$600.001 a $1.000.000,Media completa,En su propio hogar,Solo ahorros/recursos propios,Oportunidad (Aumentar ingresos/Independencia)
20374863,Arica y Parinacota,Mujer,45 a 54 años,Informal,60000.0,$0 a $300.000,Media completa,Vehículo,Solo ahorros/recursos propios,Oportunidad (Aumentar ingresos/Independencia)
58020669,Atacama,Mujer,35 a 44 años,Formal,600000.0,$300.001 a $600.000,Media completa,En la vía pública / Kiosco,Solo ahorros/recursos propios,Tradición familiar
57714383,Atacama,Mujer,45 a 54 años,Informal,400000.0,$0 a $300.000,Media completa,Vehículo,Solo ahorros/recursos propios,Oportunidad (Aumentar ingresos/Independencia)
43694942,Arica y Parinacota,Mujer,45 a 54 años,Formal,512667.0,$0 a $300.000,Básica completa / Media incompleta,En su propio hogar,Solo ahorros/recursos propios,Necesidad (Desempleo/Falta de oportunidades)
49166585,Arica y Parinacota,Hombre,35 a 44 años,Informal,500000.0,$0 a $300.000,Media completa,En su propio hogar,Solo ahorros/recursos propios,Necesidad (Desempleo/Falta de oportunidades)
30706667,Tarapacá,Hombre,45 a 54 años,Informal,300000.0,$0 a $300.000,Media completa,Predio agrícola,Solo ahorros/recursos propios,Oportunidad (Aumentar ingresos/Independencia)
26508489,Tarapacá,Mujer,45 a 54 años,Formal,6000000.0,Más de $2.500.000,Media completa,En su propio hogar,Solo ahorros/recursos propios,Oportunidad (Aumentar ingresos/Independencia)
13013311,Tarapacá,Hombre,35 a 44 años,Informal,500000.0,$0 a $300.000,Sin instrucción / Básica incompleta,Obra en construcción,Financiamiento formal (Bancos/Instituciones),Oportunidad (Aumentar ingresos/Independencia)
40449753,Tarapacá,Mujer,45 a 54 años,Informal,500000.0,$0 a $300.000,Básica completa / Media incompleta,Predio agrícola,Solo ahorros/recursos propios,Oportunidad (Aumentar ingresos/Independencia)
22736690,Arica y Parinacota,Hombre,15 a 24 años,Formal,250000.0,$0 a $300.000,Media completa,En el hogar del cliente,Solo ahorros/recursos propios,Oportunidad (Aumentar ingresos/Independencia)
71763913,Tarapacá,Hombre,65 años o más,Formal,171168.0,$0 a $300.000,Básica completa / Media incompleta,Predio agrícola,Solo ahorros/recursos propios,Oportunidad (Aumentar ingresos/Independencia)
26564224,Atacama,Mujer,55 a 64 años,Informal,250000.0,$0 a $300.000,Básica completa / Media incompleta,Vehículo,Solo ahorros/recursos propios,Necesidad (Desempleo/Falta de oportunidades)
72513443,Arica y Parinacota,Mujer,25 a 34 años,Informal,40000.0,$0 a $300.000,Superior completa (IP/CFT),Vehículo,Solo ahorros/recursos propios,Oportunidad (Aumentar ingresos/Independencia)
64355782,Arica y Parinacota,Hombre,65 años o más,Informal,80000.0,$0 a $300.000,Básica completa / Media incompleta,En el hogar del cliente,Solo ahorros/recursos propios,Necesidad (Desempleo/Falta de oportunidades)
35153375,Tarapacá,Mujer,45 a 54 años,Formal,600000.0,$300.001 a $600.000,Media completa,Otro lugar fijo fuera del hogar,Financiamiento formal (Bancos/Instituciones),Oportunidad (Aumentar ingresos/Independencia)
66297929,Atacama,Mujer,65 años o más,Informal,400000.0,$0 a $300.000,Básica completa / Media incompleta,Vehículo,Subsidios públicos / Fondos del Estado,Oportunidad (Aumentar ingresos/Independencia)
87626144,Atacama,Hombre,35 a 44 años,Informal,1300000.0,$600.001 a $1.000.000,Media completa,No tiene un lugar fijo,Solo ahorros/recursos propios,Oportunidad (Aumentar ingresos/Independencia)
79120846,Tarapacá,Mujer,65 años o más,Formal,1060152.0,$600.001 a $1.000.000,Media completa,En la vía pública / Kiosco,Solo ahorros/recursos propios,Oportunidad (Aumentar ingresos/Independencia)
75397445,Atacama,Hombre,25 a 34 años,Informal,1000000.0,$300.001 a $600.000,Media completa,Predio agrícola,Solo ahorros/recursos propios,Necesidad (Desempleo/Falta de oportunidades)
71014754,Atacama,Mujer,45 a 54 años,Informal,20000.0,$0 a $300.000,Media completa,Vehículo,Financiamiento formal (Bancos/Instituciones),Oportunidad (Aumentar ingresos/Independencia)
25074604,Tarapacá,Hombre,35 a 44 años,Formal,5500000.0,Más de $2.500.000,Superior completa (IP/CFT),En su propio hogar,Financiamiento formal (Bancos/Instituciones),Necesidad (Desempleo/Falta de oportunidades)
28643113,Tarapacá,Hombre,55 a 64 años,Informal,850000.0,$300.001 a $600.000,Superior incompleta (IP/CFT/Univ),No tiene un lugar fijo,Solo ahorros/recursos propios,Complementar ingresos
71046981,Atacama,Mujer,45 a 54 años,Informal,200000.0,$0 a $300.000,Media completa,Vehículo,Solo ahorros/recursos propios,Oportunidad (Aumentar ingresos/Independencia)
72838159,Tarapacá,Hombre,35 a 44 años,Formal,3000000.0,Más de $2.500.000,Media completa,En la vía pública / Kiosco,Solo ahorros/recursos propios,Necesidad (Desempleo/Falta de oportunidades)
86140113,Tarapacá,Hombre,65 años o más,Formal,800000.0,$300.001 a $600.000,Básica completa / Media incompleta,En su propio hogar,Solo ahorros/recursos propios,Necesidad (Desempleo/Falta de oportunidades)
83129434,Atacama,Hombre,35 a 44 años,Informal,700000.0,$300.001 a $600.000,Básica completa / Media incompleta,Predio agrícola,Financiamiento formal (Bancos/Instituciones),Necesidad (Desempleo/Falta de oportunidades)
61223159,Atacama,Hombre,45 a 54 años,Informal,1280000.0,$600.001 a $1.000.000,Media completa,Obra en construcción,Solo ahorros/recursos propios,Tradición familiar
34569137,Tarapacá,Hombre,55 a 64 años,Informal,300000.0,$0 a $300.000,Básica completa / Media incompleta,Predio agrícola,Solo ahorros/recursos propios,Oportunidad (Aumentar ingresos/Independencia)
37977455,Tarapacá,Hombre,65 años o más,Formal,19000000.0,Más de $2.500.000,Media completa,Predio agrícola,Subsidios públicos / Fondos del Estado,Necesidad (Desempleo/Falta de oportunidades)
68260766,Atacama,Mujer,65 años o más,Formal,-430000.0,$0 a $300.000,Básica completa / Media incompleta,En la vía pública / Kiosco,Préstamos de familiares/amigos,Necesidad (Desempleo/Falta de oportunidades)
52606717,Atacama,Mujer,35 a 44 años,Informal,200000.0,$0 a $300.000,Básica completa / Media incompleta,Vehículo,Solo ahorros/recursos propios,Oportunidad (Aumentar ingresos/Independencia)
57767682,Atacama,Hombre,65 años o más,Informal,250000.0,$0 a $300.000,Básica completa / Media incompleta,En la vía pública / Kiosco,Solo ahorros/recursos propios,Oportunidad (Aumentar ingresos/Independencia)
44153550,Arica y Parinacota,Hombre,45 a 54 años,Formal,-40000.0,$0 a $300.000,Superior incompleta (IP/CFT/Univ),En el hogar del cliente,Solo ahorros/recursos propios,Oportunidad (Aumentar ingresos/Independencia)
64222851,Arica y Parinacota,Hombre,55 a 64 años,Formal,401320.0,$0 a $300.000,Superior completa (IP/CFT),En el hogar del cliente,Subsidios públicos / Fondos del Estado,Oportunidad (Aumentar ingresos/Independencia)
22224682,Arica y Parinacota,Mujer,35 a 44 años,Formal,1915000.0,$1.000.001 a $1.500.000,Media completa,Vehículo,Solo ahorros/recursos propios,Oportunidad (Aumentar ingresos/Independencia)
61332320,Atacama,Mujer,15 a 24 años,Informal,230000.0,$0 a $300.000,Media completa,Predio agrícola,Solo ahorros/recursos propios,Necesidad (Desempleo/Falta de oportunidades)
81257646,Arica y Parinacota,Hombre,35 a 44 años,Informal,240000.0,$0 a $300.000,Básica completa / Media incompleta,Vehículo,Solo ahorros/recursos propios,Tradición familiar
75854092,Los Ríos,Hombre,25 a 34 años,Informal,1000000.0,$300.001 a $600.000,Básica completa / Media incompleta,Predio agrícola,Solo ahorros/recursos propios,Necesidad (Desempleo/Falta de oportunidades)
67002339,Coquimbo,Hombre,45 a 54 años,Informal,400000.0,$0 a $300.000,Media completa,No tiene un lugar fijo,Solo ahorros/recursos propios,Otra razón
29889713,Coquimbo,Mujer,55 a 64 años,Informal,300000.0,$0 a $300.000,Básica completa / Media incompleta,Predio agrícola,Subsidios públicos / Fondos del Estado,Necesidad (Desempleo/Falta de oportunidades)
78547037,Coquimbo,Mujer,45 a 54 años,Informal,30000.0,$0 a $300.000,Básica completa / Media incompleta,Vehículo,Solo ahorros/recursos propios,Oportunidad (Aumentar ingresos/Independencia)
57715334,Ñuble,Hombre,65 años o más,Formal,80000.0,$0 a $300.000,Media completa,En la vía pública / Kiosco,Subsidios públicos / Fondos del Estado,Oportunidad (Aumentar ingresos/Independencia)
58653861,Los Ríos,Mujer,55 a 64 años,Informal,50000.0,$0 a $300.000,Media completa,No tiene un lugar fijo,Subsidios públicos / Fondos del Estado,Oportunidad (Aumentar ingresos/Independencia)
74060387,Los Lagos,Mujer,35 a 44 años,Informal,300000.0,$0 a $300.000,Media completa,Predio agrícola,Solo ahorros/recursos propios,Oportunidad (Aumentar ingresos/Independencia)
64012691,Los Lagos,Hombre,45 a 54 años,Formal,800000.0,$300.001 a $600.000,Básica completa / Media incompleta,No tiene un lugar fijo,Solo ahorros/recursos propios,Oportunidad (Aumentar ingresos/Independencia)
26540224,Los Lagos,Hombre,55 a 64 años,Informal,350000.0,$0 a $300.000,Básica completa / Media incompleta,En su propio hogar,Solo ahorros/recursos propios,Tradición familiar
47914713,Valparaíso,Mujer,55 a 64 años,Formal,250000.0,$0 a $300.000,Media completa,Vehículo,Solo ahorros/recursos propios,Necesidad (Desempleo/Falta de oportunidades)
78525518,Valparaíso,Mujer,35 a 44 años,Informal,400000.0,$0 a $300.000,Superior incompleta (IP/CFT/Univ),Vehículo,Solo ahorros/recursos propios,Necesidad (Desempleo/Falta de oportunidades)
32903931,Metropolitana,Mujer,55 a 64 años,Informal,120000.0,$0 a $300.000,Básica completa / Media incompleta,En la vía pública / Kiosco,Solo ahorros/recursos propios,Necesidad (Desempleo/Falta de oportunidades)
13043628,La Araucanía,Hombre,55 a 64 años,Informal,400000.0,$0 a $300.000,Básica completa / Media incompleta,No tiene un lugar fijo,Solo ahorros/recursos propios,Complementar ingresos
84574819,Los Lagos,Hombre,35 a 44 años,Informal,800000.0,$300.001 a $600.000,Media completa,Obra en construcción,Financiamiento formal (Bancos/Instituciones),Oportunidad (Aumentar ingresos/Independencia)
16445380,O'Higgins,Hombre,65 años o más,Informal,400000.0,$0 a $300.000,Media completa,Local/Oficina/Taller establecido,Préstamos de familiares/amigos,Tradición familiar
52127734,Valparaíso,Hombre,65 años o más,Informal,650000.0,$300.001 a $600.000,Básica completa / Media incompleta,No tiene un lugar fijo,Financiamiento formal (Bancos/Instituciones),Necesidad (Desempleo/Falta de oportunidades)
14175857,Aysén,Hombre,35 a 44 años,Informal,1700000.0,$1.000.001 a $1.500.000,Básica completa / Media incompleta,No tiene un lugar fijo,Solo ahorros/recursos propios,Necesidad (Desempleo/Falta de oportunidades)
14604642,Maule,Hombre,55 a 64 años,Formal,650000.0,$300.001 a $600.000,Básica completa / Media incompleta,Obra en construcción,Subsidios públicos / Fondos del Estado,Necesidad (Desempleo/Falta de oportunidades)
26762065,Tarapacá,Mujer,25 a 34 años,Informal,100000.0,$0 a $300.000,Básica completa / Media incompleta,En la vía pública / Kiosco,Subsidios públicos / Fondos del Estado,Oportunidad (Aumentar ingresos/Independencia)
57220239,Valparaíso,Hombre,45 a 54 años,Informal,200000.0,$0 a $300.000,Básica completa / Media incompleta,Vehículo,Solo ahorros/recursos propios,Necesidad (Desempleo/Falta de oportunidades)
25200334,Valparaíso,Hombre,35 a 44 años,Formal,500000.0,$0 a $300.000,Media completa,En su propio hogar,Solo ahorros/recursos propios,Tradición familiar
26374076,Ñuble,Hombre,65 años o más,Formal,1000000.0,$300.001 a $600.000,Media completa,En su propio hogar,Solo ahorros/recursos propios,Necesidad (Desempleo/Falta de oportunidades)
24809991,Los Lagos,Hombre,55 a 64 años,Informal,800000.0,$300.001 a $600.000,Básica completa / Media incompleta,Obra en construcción,Subsidios públicos / Fondos del Estado,Necesidad (Desempleo/Falta de oportunidades)
28753073,Los Lagos,Hombre,65 años o más,Informal,1600000.0,$1.000.001 a $1.500.000,Básica completa / Media incompleta,En el hogar del cliente,Solo ahorros/recursos propios,Oportunidad (Aumentar ingresos/Independencia)
28062260,La Araucanía,Mujer,65 años o más,Informal,200000.0,$0 a $300.000,Media completa,En la vía pública / Kiosco,Préstamos de familiares/amigos,Oportunidad (Aumentar ingresos/Independencia)
53315856,La Araucanía,Hombre,55 a 64 años,Informal,400000.0,$0 a $300.000,Media completa,Local/Oficina/Taller establecido,Solo ahorros/recursos propios,Oportunidad (Aumentar ingresos/Independencia)
35142395,Los Lagos,Hombre,15 a 24 años,Informal,280000.0,$0 a $300.000,Media completa,Vehículo,Subsidios públicos / Fondos del Estado,Oportunidad (Aumentar ingresos/Independencia)
48838633,Maule,Hombre,65 años o más,Formal,2500000.0,$1.500.001 a $2.500.000,Básica completa / Media incompleta,En su propio hogar,Solo ahorros/recursos propios,Necesidad (Desempleo/Falta de oportunidades)
20222483,Coquimbo,Mujer,45 a 54 años,Formal,1870000.0,$1.000.001 a $1.500.000,Superior incompleta (IP/CFT/Univ),Vehículo,Solo ahorros/recursos propios,Necesidad (Desempleo/Falta de oportunidades)
51967241,Metropolitana,Hombre,45 a 54 años,Formal,1000000.0,$300.001 a $600.000,Superior completa (IP/CFT),Vehículo,Solo ahorros/recursos propios,Oportunidad (Aumentar ingresos/Independencia)
73372787,La Araucanía,Hombre,55 a 64 años,Informal,-163000.0,$0 a $300.000,Básica completa / Media incompleta,Local/Oficina/Taller establecido,Solo ahorros/recursos propios,Tradición familiar
16393393,La Araucanía,Hombre,45 a 54 años,Informal,335000.0,$0 a $300.000,Básica completa / Media incompleta,Local/Oficina/Taller establecido,Subsidios públicos / Fondos del Estado,Oportunidad (Aumentar ingresos/Independencia)
61335348,Valparaíso,Hombre,25 a 34 años,Informal,1000000.0,$300.001 a $600.000,Superior completa (IP/CFT),Predio agrícola,Solo ahorros/recursos propios,Oportunidad (Aumentar ingresos/Independencia)
36294531,Biobío,Hombre,45 a 54 años,Informal,280000.0,$0 a $300.000,Básica completa / Media incompleta,En la vía pública / Kiosco,Subsidios públicos / Fondos del Estado,Oportunidad (Aumentar ingresos/Independencia)
19271234,La Araucanía,Mujer,55 a 64 años,Informal,40000.0,$0 a $300.000,Media completa,En la vía pública / Kiosco,Financiamiento formal (Bancos/Instituciones),Tradición familiar
36914069,Aysén,Mujer,35 a 44 años,Formal,1200000.0,$600.001 a $1.000.000,Media completa,En su propio hogar,Solo ahorros/recursos propios,Oportunidad (Aumentar ingresos/Independencia)
76195895,Metropolitana,Mujer,55 a 64 años,Formal,0.0,$0 a $300.000,Superior incompleta (IP/CFT/Univ),En su propio hogar,Solo ahorros/recursos propios,Necesidad (Desempleo/Falta de oportunidades)
45443845,O'Higgins,Hombre,55 a 64 años,Informal,800000.0,$300.001 a $600.000,Media completa,No tiene un lugar fijo,Solo ahorros/recursos propios,Tradición familiar
39860423,Ñuble,Mujer,55 a 64 años,Informal,200000.0,$0 a $300.000,Media completa,En la vía pública / Kiosco,Solo ahorros/recursos propios,Oportunidad (Aumentar ingresos/Independencia)
67907719,Ñuble,Hombre,25 a 34 años,Informal,700000.0,$300.001 a $600.000,Media completa,En la vía pública / Kiosco,Solo ahorros/recursos propios,Tradición familiar
34963335,Valparaíso,Hombre,55 a 64 años,Informal,650000.0,$300.001 a $600.000,Media completa,En su propio hogar,Solo ahorros/recursos propios,Necesidad (Desempleo/Falta de oportunidades)
41534101,Maule,Mujer,35 a 44 años,Informal,300000.0,$0 a $300.000,Media completa,Vehículo,Solo ahorros/recursos propios,Oportunidad (Aumentar ingresos/Independencia)
43406019,Tarapacá,Mujer,35 a 44 años,Formal,1100000.0,$600.001 a $1.000.000,Superior completa (IP/CFT),Vehículo,Financiamiento formal (Bancos/Instituciones),Oportunidad (Aumentar ingresos/Independencia)
83655563,Tarapacá,Hombre,45 a 54 años,Formal,500000.0,$0 a $300.000,Superior completa (IP/CFT),En su propio hogar,Solo ahorros/recursos propios,Oportunidad (Aumentar ingresos/Independencia)
35822688,Valparaíso,Mujer,25 a 34 años,Informal,5000.0,$0 a $300.000,Media completa,Vehículo,Solo ahorros/recursos propios,Oportunidad (Aumentar ingresos/Independencia)
83834089,Metropolitana,Hombre,55 a 64 años,Informal,360000.0,$0 a $300.000,Básica completa / Media incompleta,No tiene un lugar fijo,Financiamiento formal (Bancos/Instituciones),Oportunidad (Aumentar ingresos/Independencia)
16197650,Magallanes,Hombre,65 años o más,Formal,1500000.0,$600.001 a $1.000.000,Superior incompleta (IP/CFT/Univ),En la vía pública / Kiosco,Solo ahorros/recursos propios,Necesidad (Desempleo/Falta de oportunidades)
72081453,Los Lagos,Hombre,45 a 54 años,Formal,1200000.0,$600.001 a $1.000.000,Media completa,En el hogar del cliente,Solo ahorros/recursos propios,Necesidad (Desempleo/Falta de oportunidades)
28019609,Metropolitana,Hombre,15 a 24 años,Informal,300000.0,$0 a $300.000,Superior incompleta (IP/CFT/Univ),En la vía pública / Kiosco,Solo ahorros/recursos propios,Oportunidad (Aumentar ingresos/Independencia)
85823606,Metropolitana,Mujer,35 a 44 años,Informal,350000.0,$0 a $300.000,Media completa,Predio agrícola,Financiamiento formal (Bancos/Instituciones),Oportunidad (Aumentar ingresos/Independencia)
28387250,Biobío,Mujer,25 a 34 años,Informal,129000.0,$0 a $300.000,Media completa,Vehículo,Solo ahorros/recursos propios,Oportunidad (Aumentar ingresos/Independencia)
50136874,Los Ríos,Hombre,65 años o más,Informal,300000.0,$0 a $300.000,Básica completa / Media incompleta,No tiene un lugar fijo,Solo ahorros/recursos propios,Oportunidad (Aumentar ingresos/Independencia)
46322327,Arica y Parinacota,Mujer,45 a 54 años,Formal,780000.0,$300.001 a $600.000,Básica completa / Media incompleta,En la vía pública / Kiosco,Subsidios públicos / Fondos del Estado,Oportunidad (Aumentar ingresos/Independencia)
72279090,Ñuble,Hombre,45 a 54 años,Informal,300000.0,$0 a $300.000,Básica completa / Media incompleta,Local/Oficina/Taller establecido,Financiamiento formal (Bancos/Instituciones),Necesidad (Desempleo/Falta de oportunidades)
21671182,Maule,Hombre,65 años o más,Formal,2000000.0,$1.000.001 a $1.500.000,Básica completa / Media incompleta,Local/Oficina/Taller establecido,Solo ahorros/recursos propios,Tradición familiar
47361960,Atacama,Hombre,45 a 54 años,Formal,2500000.0,$1.500.001 a $2.500.000,Superior completa (IP/CFT),En su propio hogar,Solo ahorros/recursos propios,Oportunidad (Aumentar ingresos/Independencia)
85140791,Arica y Parinacota,Mujer,45 a 54 años,Formal,210000.0,$0 a $300.000,Media completa,En su propio hogar,Solo ahorros/recursos propios,Necesidad (Desempleo/Falta de oportunidades)
86399027,Arica y Parinacota,Mujer,55 a 64 años,Informal,50000.0,$0 a $300.000,Básica completa / Media incompleta,Predio agrícola,Solo ahorros/recursos propios,Oportunidad (Aumentar ingresos/Independencia)
32590826,Metropolitana,Hombre,45 a 54 años,Formal,8000000.0,Más de $2.500.000,Superior completa (IP/CFT),En su propio hogar,Subsidios públicos / Fondos del Estado,Necesidad (Desempleo/Falta de oportunidades)
35163834,Maule,Hombre,55 a 64 años,Formal,400000.0,$0 a $300.000,Básica completa / Media incompleta,No tiene un lugar fijo,Subsidios públicos / Fondos del Estado,Necesidad (Desempleo/Falta de oportunidades)
21518743,Atacama,Hombre,45 a 54 años,Formal,4000000.0,Más de $2.500.000,Media completa,En su propio hogar,Préstamos de familiares/amigos,Necesidad (Desempleo/Falta de oportunidades)
