id,region,sexo,tramo_etario,ganancia_final,lugar_trabajo,financiamiento_inicial,rama_economica,motivacion,informalidad,tramos_ganancias
13,Arica y Parinacota,Mujer,15 a 29 años,0.0,Instalación Independiente,Recursos Propios,Otros sectores,Otras razones,Informal,Menos de $350.000
14,Atacama,Hombre,30 a 44 años,2300000.0,Instalación Independiente,Recursos Propios,Construcción,Complementar ingreso familiar,Formal,Más de $1.500.000
15,Tarapacá,Hombre,Adulto Medio,300000.0,Instalación Independiente,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Formal,Menos de $350.000
16,Arica y Parinacota,Hombre,15 a 29 años,225000.0,En la vía pública,Recursos Propios,Agricultura y Pesca,Complementar ingreso familiar,Informal,Menos de $350.000
17,Atacama,Hombre,Adulto Medio,1400000.0,A domicilio,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Formal,Entre $700.000 y $1.500.000
18,Atacama,Hombre,Adulto Medio,1400000.0,Instalación Independiente,Recursos Propios,Agua y Desechos,Complementar ingreso familiar,Formal,Entre $700.000 y $1.500.000
19,Arica y Parinacota,Hombre,Adulto Medio,300000.0,A domicilio,Recursos Propios,Minería,Complementar ingreso familiar,Informal,Menos de $350.000
20,Tarapacá,Hombre,30 a 44 años,2000000.0,En el propio hogar,Recursos Propios,Construcción,Complementar ingreso familiar,Formal,Más de $1.500.000
21,Arica y Parinacota,Mujer,Adulto Medio,280000.0,Instalación Independiente,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Formal,Menos de $350.000
22,Atacama,Hombre,Adulto Medio,900000.0,A domicilio,Recursos Propios,Minería,Complementar ingreso familiar,Informal,Entre $700.000 y $1.500.000
23,Atacama,Mujer,15 a 29 años,0.0,Instalación Independiente,Recursos Propios,Otros sectores,Otras razones,Formal,Menos de $350.000
24,Arica y Parinacota,Mujer,30 a 44 años,150000.0,A domicilio,Recursos Propios,Electricidad y Gas,Oportunidad de negocio,Formal,Menos de $350.000
25,Arica y Parinacota,Mujer,Adulto Medio,200000.0,Instalación Independiente,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Informal,Menos de $350.000
26,Atacama,Mujer,45 a 59 años,500000.0,Instalación Independiente,Recursos Propios,Minería,Complementar ingreso familiar,Formal,Entre $350.000 y $700.000
27,Tarapacá,Hombre,Adulto Medio,1000000.0,A domicilio,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Formal,Entre $700.000 y $1.500.000
28,Tarapacá,Hombre,45 a 59 años,100000.0,Instalación Independiente,Recursos Propios,Agricultura y Pesca,Complementar ingreso familiar,Informal,Menos de $350.000
29,Atacama,Hombre,Adulto Medio,400000.0,Instalación Independiente,Recursos Propios,Manufactura,Complementar ingreso familiar,Formal,Entre $350.000 y $700.000
30,Atacama,Mujer,45 a 59 años,330000.0,En el propio hogar,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Formal,Menos de $350.000
31,Tarapacá,Mujer,45 a 59 años,300000.0,Instalación Independiente,Recursos Propios,Construcción,Complementar ingreso familiar,Informal,Menos de $350.000
32,Tarapacá,Hombre,45 a 59 años,18000000.0,A domicilio,Recursos Propios,Electricidad y Gas,Oportunidad de negocio,Formal,Más de $1.500.000
33,Tarapacá,Hombre,30 a 44 años,0.0,Instalación Independiente,Recursos Propios,Otros sectores,Otras razones,Formal,Menos de $350.000
34,Tarapacá,Mujer,45 a 59 años,190000.0,Instalación Independiente,Recursos Propios,Construcción,Complementar ingreso familiar,Informal,Menos de $350.000
35,Tarapacá,Hombre,45 a 59 años,1500000.0,Instalación Independiente,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Formal,Entre $700.000 y $1.500.000
36,Atacama,Hombre,45 a 59 años,1000000.0,En el propio hogar,Recursos Propios,Construcción,Oportunidad de negocio,Formal,Entre $700.000 y $1.500.000
37,Atacama,Mujer,45 a 59 años,300000.0,Instalación Independiente,Recursos Propios,Agricultura y Pesca,Complementar ingreso familiar,Informal,Menos de $350.000
38,Atacama,Hombre,Adulto Medio,583333.333333333,En la vía pública,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Formal,Entre $350.000 y $700.000
39,Atacama,Hombre,60 años o más,1000000.0,En la vía pública,Recursos Propios,Agricultura y Pesca,Complementar ingreso familiar,Formal,Entre $700.000 y $1.500.000
40,Atacama,Hombre,Adulto Medio,-5280000.0,A domicilio,Recursos Propios,Agricultura y Pesca,Oportunidad de negocio,Informal,Menos de $350.000
41,Atacama,Mujer,60 años o más,1000000.0,Instalación Independiente,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Formal,Entre $700.000 y $1.500.000
42,Atacama,Mujer,Adulto Medio,500000.0,Instalación Independiente,Ahorros propios,Electricidad y Gas,Complementar ingreso familiar,Formal,Entre $350.000 y $700.000
43,Atacama,Mujer,Adulto Medio,500000.0,A domicilio,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Informal,Entre $350.000 y $700.000
44,Arica y Parinacota,Mujer,60 años o más,400000.0,A domicilio,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Formal,Entre $350.000 y $700.000
45,Arica y Parinacota,Hombre,Adulto Medio,200000.0,A domicilio,Recursos Propios,Construcción,Complementar ingreso familiar,Formal,Menos de $350.000
46,Tarapacá,Mujer,Adulto Medio,40000.0,Instalación Independiente,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Informal,Menos de $350.000
47,Tarapacá,Mujer,45 a 59 años,1300000.0,En el propio hogar,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Formal,Entre $700.000 y $1.500.000
48,Arica y Parinacota,Mujer,60 años o más,60000.0,Instalación Independiente,Recursos Propios,Construcción,Oportunidad de negocio,Formal,Menos de $350.000
49,Atacama,Mujer,45 a 59 años,600000.0,A domicilio,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Informal,Entre $350.000 y $700.000
50,Atacama,Mujer,60 años o más,400000.0,Instalación Independiente,Recursos Propios,Construcción,Complementar ingreso familiar,Formal,Entre $350.000 y $700.000
51,Arica y Parinacota,Mujer,60 años o más,512667.0,En el propio hogar,Recursos Propios,Construcción,Complementar ingreso familiar,Formal,Entre $350.000 y $700.000
52,Arica y Parinacota,Hombre,45 a 59 años,500000.0,En el propio hogar,Recursos Propios,Construcción,Complementar ingreso familiar,Informal,Entre $350.000 y $700.000
53,Tarapacá,Hombre,60 años o más,300000.0,Instalación Independiente,Recursos Propios,Agua y Desechos,Complementar ingreso familiar,Formal,Menos de $350.000
54,Tarapacá,Mujer,60 años o más,6000000.0,En el propio hogar,Ahorros propios,Electricidad y Gas,Oportunidad de negocio,Formal,Más de $1.500.000
55,Tarapacá,Hombre,45 a 59 años,500000.0,Instalación Independiente,Recursos Propios,Agricultura y Pesca,Complementar ingreso familiar,Informal,Entre $350.000 y $700.000
56,Tarapacá,Mujer,60 años o más,500000.0,Instalación Independiente,Ahorros propios,Construcción,Complementar ingreso familiar,Formal,Entre $350.000 y $700.000
57,Arica y Parinacota,Hombre,15 a 29 años,250000.0,Local u oficina comercial,Recursos Propios,Agua y Desechos,Complementar ingreso familiar,Formal,Menos de $350.000
58,Tarapacá,Hombre,Adulto Medio,171168.0,Instalación Independiente,Recursos Propios,Agua y Desechos,Complementar ingreso familiar,Informal,Menos de $350.000
59,Atacama,Mujer,Adulto Medio,250000.0,Instalación Independiente,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Formal,Menos de $350.000
60,Arica y Parinacota,Mujer,30 a 44 años,40000.0,Instalación Independiente,Recursos Propios,Minería,Complementar ingreso familiar,Formal,Menos de $350.000
61,Arica y Parinacota,Hombre,Adulto Medio,80000.0,Local u oficina comercial,Recursos Propios,Agua y Desechos,Complementar ingreso familiar,Informal,Menos de $350.000
62,Tarapacá,Mujer,60 años o más,600000.0,Instalación Independiente,Fondos estatales (Sercotec/Corfo),Agua y Desechos,Complementar ingreso familiar,Formal,Entre $350.000 y $700.000
63,Atacama,Mujer,Adulto Medio,400000.0,Instalación Independiente,Recursos Propios,Minería,Complementar ingreso familiar,Formal,Entre $350.000 y $700.000
64,Atacama,Hombre,45 a 59 años,1300000.0,Instalación Independiente,Recursos Propios,Manufactura,Complementar ingreso familiar,Informal,Entre $700.000 y $1.500.000
65,Tarapacá,Mujer,Adulto Medio,1060152.0,A domicilio,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Formal,Entre $700.000 y $1.500.000
66,Atacama,Hombre,30 a 44 años,1000000.0,Instalación Independiente,Recursos Propios,Agua y Desechos,Complementar ingreso familiar,Formal,Entre $700.000 y $1.500.000
67,Atacama,Mujer,60 años o más,20000.0,Instalación Independiente,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Informal,Menos de $350.000
68,Tarapacá,Hombre,45 a 59 años,5500000.0,En el propio hogar,Recursos Propios,Electricidad y Gas,Oportunidad de negocio,Formal,Más de $1.500.000
69,Tarapacá,Hombre,Adulto Medio,850000.0,Instalación Independiente,Recursos Propios,Manufactura,Complementar ingreso familiar,Formal,Entre $700.000 y $1.500.000
70,Atacama,Mujer,60 años o más,200000.0,Instalación Independiente,Préstamo familiar,Minería,Oportunidad de negocio,Informal,Menos de $350.000
71,Tarapacá,Hombre,45 a 59 años,3000000.0,A domicilio,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Formal,Más de $1.500.000
72,Tarapacá,Hombre,Adulto Medio,800000.0,En el propio hogar,Recursos Propios,Construcción,Complementar ingreso familiar,Formal,Entre $700.000 y $1.500.000
73,Atacama,Hombre,45 a 59 años,700000.0,Instalación Independiente,Fondos estatales (Sercotec/Corfo),Agricultura y Pesca,Complementar ingreso familiar,Informal,Entre $350.000 y $700.000
74,Atacama,Hombre,60 años o más,1280000.0,Instalación Independiente,Recursos Propios,Manufactura,Complementar ingreso familiar,Formal,Entre $700.000 y $1.500.000
75,Tarapacá,Hombre,Adulto Medio,300000.0,Instalación Independiente,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Formal,Menos de $350.000
76,Tarapacá,Hombre,Adulto Medio,19000000.0,Instalación Independiente,Préstamo bancario,Agua y Desechos,Complementar ingreso familiar,Informal,Más de $1.500.000
77,Atacama,Mujer,Adulto Medio,-430000.0,A domicilio,Ahorros propios,Electricidad y Gas,Complementar ingreso familiar,Formal,Menos de $350.000
78,Atacama,Mujer,45 a 59 años,200000.0,Instalación Independiente,Préstamo familiar,Minería,Complementar ingreso familiar,Formal,Menos de $350.000
79,Atacama,Hombre,Adulto Medio,250000.0,A domicilio,Recursos Propios,Minería,Complementar ingreso familiar,Informal,Menos de $350.000
80,Arica y Parinacota,Hombre,60 años o más,-40000.0,Local u oficina comercial,Recursos Propios,Agua y Desechos,Complementar ingreso familiar,Formal,Menos de $350.000
81,Arica y Parinacota,Hombre,Adulto Medio,401320.0,Local u oficina comercial,Recursos Propios,Agua y Desechos,Complementar ingreso familiar,Formal,Entre $350.000 y $700.000
82,Arica y Parinacota,Mujer,45 a 59 años,1915000.0,Instalación Independiente,Ahorros propios,Electricidad y Gas,Complementar ingreso familiar,Informal,Más de $1.500.000
83,Atacama,Mujer,15 a 29 años,230000.0,Instalación Independiente,Recursos Propios,Minería,Complementar ingreso familiar,Formal,Menos de $350.000
84,Arica y Parinacota,Hombre,45 a 59 años,240000.0,Instalación Independiente,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Formal,Menos de $350.000
85,Los Ríos,Hombre,30 a 44 años,1000000.0,Instalación Independiente,Recursos Propios,Minería,Complementar ingreso familiar,Informal,Entre $700.000 y $1.500.000
86,Coquimbo,Hombre,60 años o más,400000.0,Instalación Independiente,Recursos Propios,Manufactura,Complementar ingreso familiar,Formal,Entre $350.000 y $700.000
87,Coquimbo,Mujer,Adulto Medio,300000.0,Instalación Independiente,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Formal,Menos de $350.000
88,Coquimbo,Hombre,15 a 29 años,0.0,Instalación Independiente,Recursos Propios,Otros sectores,Otras razones,Informal,Menos de $350.000
89,Coquimbo,Mujer,60 años o más,30000.0,Instalación Independiente,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Formal,Menos de $350.000
90,Ñuble,Hombre,Adulto Medio,80000.0,A domicilio,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Formal,Menos de $350.000
91,Los Ríos,Mujer,Adulto Medio,50000.0,Instalación Independiente,Ahorros propios,Construcción,Complementar ingreso familiar,Informal,Menos de $350.000
92,Los Lagos,Mujer,45 a 59 años,300000.0,Instalación Independiente,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Formal,Menos de $350.000
93,Los Lagos,Hombre,60 años o más,800000.0,Instalación Independiente,Recursos Propios,Manufactura,Complementar ingreso familiar,Formal,Entre $700.000 y $1.500.000
94,Los Lagos,Hombre,Adulto Medio,350000.0,En el propio hogar,Recursos Propios,Construcción,Oportunidad de negocio,Informal,Menos de $350.000
95,Valparaíso,Mujer,Adulto Medio,250000.0,Instalación Independiente,Recursos Propios,Minería,Oportunidad de negocio,Formal,Menos de $350.000
96,Valparaíso,Mujer,45 a 59 años,400000.0,Instalación Independiente,Recursos Propios,Construcción,Complementar ingreso familiar,Formal,Entre $350.000 y $700.000
97,Metropolitana,Mujer,Adulto Medio,120000.0,A domicilio,Recursos Propios,Construcción,Complementar ingreso familiar,Informal,Menos de $350.000
98,La Araucanía,Mujer,Adulto Medio,0.0,Instalación Independiente,Recursos Propios,Otros sectores,Otras razones,Formal,Menos de $350.000
99,La Araucanía,Hombre,Adulto Medio,400000.0,Instalación Independiente,Recursos Propios,Agricultura y Pesca,Complementar ingreso familiar,Formal,Entre $350.000 y $700.000
100,Los Lagos,Hombre,45 a 59 años,800000.0,Instalación Independiente,Recursos Propios,Manufactura,Complementar ingreso familiar,Informal,Entre $700.000 y $1.500.000
101,O'Higgins,Hombre,Adulto Medio,400000.0,En la vía pública,Ahorros propios,Agricultura y Pesca,Complementar ingreso familiar,Formal,Entre $350.000 y $700.000
102,Valparaíso,Mujer,Adulto Medio,0.0,Instalación Independiente,Recursos Propios,Otros sectores,Otras razones,Formal,Menos de $350.000
103,Valparaíso,Hombre,Adulto Medio,650000.0,Instalación Independiente,Recursos Propios,Construcción,Oportunidad de negocio,Informal,Entre $350.000 y $700.000
104,Aysén,Hombre,45 a 59 años,1700000.0,Instalación Independiente,Recursos Propios,Manufactura,Complementar ingreso familiar,Formal,Más de $1.500.000
105,Maule,Hombre,Adulto Medio,650000.0,Instalación Independiente,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Formal,Entre $350.000 y $700.000
106,Tarapacá,Hombre,45 a 59 años,0.0,Instalación Independiente,Recursos Propios,Otros sectores,Otras razones,Informal,Menos de $350.000
107,Tarapacá,Mujer,30 a 44 años,100000.0,A domicilio,Recursos Propios,Construcción,Complementar ingreso familiar,Formal,Menos de $350.000
108,Tarapacá,Mujer,Adulto Medio,0.0,Instalación Independiente,Recursos Propios,Otros sectores,Otras razones,Formal,Menos de $350.000
109,Valparaíso,Hombre,60 años o más,200000.0,Instalación Independiente,Recursos Propios,Agricultura y Pesca,Complementar ingreso familiar,Informal,Menos de $350.000
110,Valparaíso,Hombre,45 a 59 años,500000.0,En el propio hogar,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Formal,Entre $350.000 y $700.000
111,Valparaíso,Hombre,Adulto Medio,0.0,Instalación Independiente,Recursos Propios,Otros sectores,Otras razones,Formal,Menos de $350.000
112,Ñuble,Hombre,Adulto Medio,1000000.0,En el propio hogar,Recursos Propios,Minería,Complementar ingreso familiar,Informal,Entre $700.000 y $1.500.000
113,Los Lagos,Hombre,Adulto Medio,800000.0,Instalación Independiente,Recursos Propios,Manufactura,Complementar ingreso familiar,Formal,Entre $700.000 y $1.500.000
114,Los Lagos,Hombre,Adulto Medio,1600000.0,Local u oficina comercial,Recursos Propios,Agua y Desechos,Complementar ingreso familiar,Formal,Más de $1.500.000
115,La Araucanía,Mujer,Adulto Medio,200000.0,A domicilio,Préstamo familiar,Agricultura y Pesca,Complementar ingreso familiar,Informal,Menos de $350.000
116,La Araucanía,Hombre,Adulto Medio,400000.0,En la vía pública,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Formal,Entre $350.000 y $700.000
117,La Araucanía,Hombre,Adulto Medio,0.0,Instalación Independiente,Recursos Propios,Otros sectores,Otras razones,Formal,Menos de $350.000
118,Los Lagos,Hombre,15 a 29 años,280000.0,Instalación Independiente,Recursos Propios,Construcción,Complementar ingreso familiar,Informal,Menos de $350.000
119,Maule,Hombre,Adulto Medio,2500000.0,En el propio hogar,Recursos Propios,Construcción,Complementar ingreso familiar,Formal,Más de $1.500.000
120,Coquimbo,Mujer,60 años o más,1870000.0,Instalación Independiente,Recursos Propios,Construcción,Complementar ingreso familiar,Formal,Más de $1.500.000
121,Metropolitana,Hombre,60 años o más,1000000.0,Instalación Independiente,Recursos Propios,Manufactura,Complementar ingreso familiar,Informal,Entre $700.000 y $1.500.000
122,La Araucanía,Hombre,Adulto Medio,-163000.0,En la vía pública,Recursos Propios,Agricultura y Pesca,Oportunidad de negocio,Formal,Menos de $350.000
123,La Araucanía,Hombre,60 años o más,335000.0,En la vía pública,Recursos Propios,Agricultura y Pesca,Complementar ingreso familiar,Formal,Menos de $350.000
124,Valparaíso,Hombre,30 a 44 años,1000000.0,Instalación Independiente,Recursos Propios,Agua y Desechos,Complementar ingreso familiar,Informal,Entre $700.000 y $1.500.000
125,Biobío,Hombre,60 años o más,280000.0,A domicilio,Recursos Propios,Minería,Oportunidad de negocio,Formal,Menos de $350.000
126,La Araucanía,Mujer,Adulto Medio,40000.0,A domicilio,Recursos Propios,Construcción,Complementar ingreso familiar,Formal,Menos de $350.000
127,Aysén,Mujer,45 a 59 años,1200000.0,En el propio hogar,Recursos Propios,Electricidad y Gas,Oportunidad de negocio,Informal,Entre $700.000 y $1.500.000
128,Metropolitana,Mujer,Adulto Medio,0.0,En el propio hogar,Recursos Propios,Minería,Complementar ingreso familiar,Formal,Menos de $350.000
129,O'Higgins,Hombre,Adulto Medio,800000.0,Instalación Independiente,Recursos Propios,Construcción,Complementar ingreso familiar,Formal,Entre $700.000 y $1.500.000
130,Ñuble,Mujer,Adulto Medio,200000.0,A domicilio,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Informal,Menos de $350.000
131,Ñuble,Hombre,30 a 44 años,700000.0,A domicilio,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Formal,Entre $350.000 y $700.000
132,Valparaíso,Hombre,Adulto Medio,650000.0,En el propio hogar,Recursos Propios,Electricidad y Gas,Oportunidad de negocio,Formal,Entre $350.000 y $700.000
133,Maule,Mujer,45 a 59 años,300000.0,Instalación Independiente,Recursos Propios,Minería,Complementar ingreso familiar,Informal,Menos de $350.000
134,Tarapacá,Mujer,45 a 59 años,1100000.0,Instalación Independiente,Recursos Propios,Construcción,Complementar ingreso familiar,Formal,Entre $700.000 y $1.500.000
135,Tarapacá,Hombre,60 años o más,500000.0,En el propio hogar,Recursos Propios,Construcción,Oportunidad de negocio,Formal,Entre $350.000 y $700.000
136,Valparaíso,Hombre,Adulto Medio,0.0,Instalación Independiente,Recursos Propios,Otros sectores,Otras razones,Informal,Menos de $350.000
137,Valparaíso,Mujer,30 a 44 años,5000.0,Instalación Independiente,Préstamo familiar,Construcción,Complementar ingreso familiar,Formal,Menos de $350.000
138,Metropolitana,Hombre,Adulto Medio,360000.0,Instalación Independiente,Recursos Propios,Agua y Desechos,Complementar ingreso familiar,Formal,Entre $350.000 y $700.000
139,Magallanes,Hombre,Adulto Medio,1500000.0,A domicilio,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Informal,Entre $700.000 y $1.500.000
140,Los Lagos,Hombre,60 años o más,1200000.0,Local u oficina comercial,Recursos Propios,Agua y Desechos,Complementar ingreso familiar,Formal,Entre $700.000 y $1.500.000
141,Metropolitana,Hombre,15 a 29 años,300000.0,A domicilio,Recursos Propios,Construcción,Complementar ingreso familiar,Formal,Menos de $350.000
142,Metropolitana,Mujer,45 a 59 años,350000.0,Instalación Independiente,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Informal,Menos de $350.000
143,Biobío,Mujer,30 a 44 años,129000.0,Instalación Independiente,Recursos Propios,Minería,Complementar ingreso familiar,Formal,Menos de $350.000
144,Los Ríos,Hombre,Adulto Medio,300000.0,Instalación Independiente,Recursos Propios,Manufactura,Complementar ingreso familiar,Formal,Menos de $350.000
145,Arica y Parinacota,Mujer,60 años o más,780000.0,A domicilio,Recursos Propios,Agua y Desechos,Complementar ingreso familiar,Informal,Entre $700.000 y $1.500.000
146,Ñuble,Hombre,60 años o más,300000.0,En la vía pública,Fondos estatales (Sercotec/Corfo),Agricultura y Pesca,Complementar ingreso familiar,Formal,Menos de $350.000
147,Maule,Hombre,Adulto Medio,2000000.0,En la vía pública,Recursos Propios,Agricultura y Pesca,Oportunidad de negocio,Formal,Más de $1.500.000
148,Atacama,Hombre,60 años o más,2500000.0,En el propio hogar,Recursos Propios,Construcción,Oportunidad de negocio,Informal,Más de $1.500.000
149,Arica y Parinacota,Mujer,60 años o más,210000.0,En el propio hogar,Recursos Propios,Minería,Complementar ingreso familiar,Formal,Menos de $350.000
150,Arica y Parinacota,Mujer,Adulto Medio,50000.0,Instalación Independiente,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Formal,Menos de $350.000
151,Metropolitana,Hombre,60 años o más,8000000.0,En el propio hogar,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Informal,Más de $1.500.000
152,Maule,Hombre,Adulto Medio,400000.0,Instalación Independiente,Recursos Propios,Agua y Desechos,Complementar ingreso familiar,Formal,Entre $350.000 y $700.000
153,Atacama,Hombre,60 años o más,4000000.0,En el propio hogar,Recursos Propios,Electricidad y Gas,Oportunidad de negocio,Formal,Más de $1.500.000
154,Aysén,Hombre,Adulto Medio,800000.0,En el propio hogar,Recursos Propios,Construcción,Oportunidad de negocio,Informal,Entre $700.000 y $1.500.000
155,Valparaíso,Hombre,60 años o más,350000.0,Instalación Independiente,Recursos Propios,Manufactura,Complementar ingreso familiar,Formal,Menos de $350.000
156,Valparaíso,Mujer,45 a 59 años,300000.0,Instalación Independiente,Ahorros propios,Electricidad y Gas,Complementar ingreso familiar,Formal,Menos de $350.000
157,Metropolitana,Mujer,45 a 59 años,130000.0,Instalación Independiente,Préstamo familiar,Electricidad y Gas,Complementar ingreso familiar,Informal,Menos de $350.000
158,Metropolitana,Hombre,15 a 29 años,0.0,Instalación Independiente,Recursos Propios,Otros sectores,Otras razones,Formal,Menos de $350.000
159,Metropolitana,Hombre,60 años o más,350000.0,Instalación Independiente,Recursos Propios,Construcción,Complementar ingreso familiar,Formal,Menos de $350.000
160,Tarapacá,Mujer,Adulto Medio,0.0,Instalación Independiente,Recursos Propios,Otros sectores,Otras razones,Informal,Menos de $350.000
161,O'Higgins,Hombre,45 a 59 años,550000.0,En el propio hogar,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Formal,Entre $350.000 y $700.000
162,Magallanes,Hombre,30 a 44 años,600000.0,En el propio hogar,Préstamo bancario,Construcción,Complementar ingreso familiar,Formal,Entre $350.000 y $700.000
163,La Araucanía,Mujer,Adulto Medio,300000.0,A domicilio,Ahorros propios,Minería,Complementar ingreso familiar,Informal,Menos de $350.000
164,La Araucanía,Hombre,60 años o más,400000.0,Instalación Independiente,Recursos Propios,Manufactura,Oportunidad de negocio,Formal,Entre $350.000 y $700.000
165,Biobío,Mujer,30 a 44 años,180000.0,Instalación Independiente,Recursos Propios,Construcción,Complementar ingreso familiar,Formal,Menos de $350.000
166,Arica y Parinacota,Mujer,60 años o más,250000.0,En el propio hogar,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Informal,Menos de $350.000
167,Biobío,Mujer,45 a 59 años,700000.0,Instalación Independiente,Recursos Propios,Construcción,Complementar ingreso familiar,Formal,Entre $350.000 y $700.000
168,Metropolitana,Mujer,45 a 59 años,700000.0,Instalación Independiente,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Formal,Entre $350.000 y $700.000
169,Metropolitana,Mujer,Adulto Medio,680000.0,Instalación Independiente,Recursos Propios,Construcción,Complementar ingreso familiar,Informal,Entre $350.000 y $700.000
170,Metropolitana,Hombre,Adulto Medio,0.0,Instalación Independiente,Recursos Propios,Otros sectores,Otras razones,Formal,Menos de $350.000
171,Metropolitana,Hombre,Adulto Medio,1200000.0,Instalación Independiente,Recursos Propios,Electricidad y Gas,Oportunidad de negocio,Formal,Entre $700.000 y $1.500.000
172,Metropolitana,Mujer,60 años o más,250000.0,En el propio hogar,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Informal,Menos de $350.000
173,Tarapacá,Hombre,45 a 59 años,480000.0,Instalación Independiente,Recursos Propios,Construcción,Complementar ingreso familiar,Formal,Entre $350.000 y $700.000
174,Metropolitana,Hombre,60 años o más,387000.0,Instalación Independiente,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Formal,Entre $350.000 y $700.000
175,La Araucanía,Mujer,60 años o más,-350000.0,A domicilio,Recursos Propios,Construcción,Complementar ingreso familiar,Informal,Menos de $350.000
176,La Araucanía,Hombre,60 años o más,250000.0,A domicilio,Ahorros propios,Construcción,Oportunidad de negocio,Formal,Menos de $350.000
177,La Araucanía,Mujer,30 a 44 años,300000.0,Instalación Independiente,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Formal,Menos de $350.000
178,Maule,Mujer,Adulto Medio,80000.0,Instalación Independiente,Recursos Propios,Agricultura y Pesca,Complementar ingreso familiar,Informal,Menos de $350.000
